#show log messages | last 200 | no-more

Nov  2 14:30:00 vMX-NAPALM newsyslog[12191]: logfile turned over due to size>1024K
Nov  2 15:17:24  vMX-NAPALM dcd[14823]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:17:24  vMX-NAPALM dcd[14823]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:17:24  vMX-NAPALM file[14728]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:17:24  vMX-NAPALM l2cpd[14922]: Initializing PNAC state machines
Nov  2 15:17:24  vMX-NAPALM l2cpd[14922]: Initializing PNAC state machines complete
Nov  2 15:17:24  vMX-NAPALM l2cpd[14922]: Initialized 802.1X module and state machines
Nov  2 15:17:24  vMX-NAPALM l2cpd[14922]: Read ACCESS profile () config
Nov  2 15:17:24  vMX-NAPALM dcd[14925]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:17:24  vMX-NAPALM dcd[14925]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:17:25  vMX-NAPALM file[14728]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:18:32  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:18:32  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:18:42  vMX-NAPALM sshd[14947]: Accepted password for napalm from 192.168.223.1 port 60310 ssh2
Nov  2 15:18:42  vMX-NAPALM sshd[14947]: subsystem request for netconf by user napalm
Nov  2 15:18:42  vMX-NAPALM sshd[14947]: subsystem request for netconf failed, subsystem not found
Nov  2 15:18:43  vMX-NAPALM file[14949]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:18:43  vMX-NAPALM l2cpd[15041]: Initializing PNAC state machines
Nov  2 15:18:43  vMX-NAPALM l2cpd[15041]: Initializing PNAC state machines complete
Nov  2 15:18:43  vMX-NAPALM l2cpd[15041]: Initialized 802.1X module and state machines
Nov  2 15:18:43  vMX-NAPALM l2cpd[15041]: Read ACCESS profile () config
Nov  2 15:18:43  vMX-NAPALM dcd[15044]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:18:43  vMX-NAPALM dcd[15044]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:18:43  vMX-NAPALM file[14949]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:18:44  vMX-NAPALM l2cpd[15143]: Initializing PNAC state machines
Nov  2 15:18:44  vMX-NAPALM l2cpd[15143]: Initializing PNAC state machines complete
Nov  2 15:18:44  vMX-NAPALM l2cpd[15143]: Initialized 802.1X module and state machines
Nov  2 15:18:44  vMX-NAPALM l2cpd[15143]: Read ACCESS profile () config
Nov  2 15:18:44  vMX-NAPALM dcd[15146]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:18:44  vMX-NAPALM dcd[15146]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:18:44  vMX-NAPALM file[14949]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:19:04  vMX-NAPALM mgd[2892]: UI_DBASE_LOGIN_EVENT: User 'lab' entering configuration mode
Nov  2 15:21:00  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:21:00  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:23:28  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:23:28  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:25:56  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:25:56  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:28:24  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:28:24  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:30:52  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:30:52  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:33:20  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:33:20  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:35:48  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:35:48  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:38:17  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:38:17  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:40:45  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:40:45  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:43:13  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:43:13  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:45:41  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:45:41  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:48:09  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:48:09  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:50:37  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:50:37  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:53:05  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:53:05  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:55:33  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:55:33  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:58:01  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:58:01  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:00:29  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:00:29  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:02:57  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:02:57  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:05:25  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:05:25  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:07:53  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:07:53  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:10:21  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:10:21  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:12:49  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:12:49  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:15:17  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:15:17  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:17:45  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:17:45  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:20:13  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:20:13  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:22:41  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:22:41  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:25:09  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:25:09  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:27:37  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:27:37  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:30:05  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:30:05  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:32:33  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:32:33  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:35:01  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:35:01  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:37:29  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:37:29  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:39:57  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:39:57  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:42:25  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:42:25  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:44:53  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:44:53  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:47:21  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:47:21  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:49:49  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:49:49  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:52:17  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:52:17  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 16:54:45  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 16:54:45  vMX-NAPALM rpd[2498]: : No route to host
Nov  7 11:19:12  vMX-NAPALM eventd[1978]: SYSTEM_ABNORMAL_SHUTDOWN: System abnormally shut down
Nov  7 11:19:12  vMX-NAPALM eventd[1978]: SYSTEM_OPERATIONAL: System is operational
Nov  7 11:19:12  vMX-NAPALM /kernel: Copyright (c) 1996-2014, Juniper Networks, Inc.
Nov  7 11:19:12  vMX-NAPALM /kernel: All rights reserved.
Nov  7 11:19:12  vMX-NAPALM /kernel: Copyright (c) 1992-2007 The FreeBSD Project.
Nov  7 11:19:12  vMX-NAPALM /kernel: Copyright (c) 1979, 1980, 1983, 1986, 1988, 1989, 1991, 1992, 1993, 1994
Nov  7 11:19:12  vMX-NAPALM /kernel: 	The Regents of the University of California. All rights reserved.
Nov  7 11:19:12  vMX-NAPALM /kernel: FreeBSD is a registered trademark of The FreeBSD Foundation.
Nov  7 11:19:12  vMX-NAPALM /kernel: JUNOS 14.1R1.10 #0: 2014-06-07 09:37:07 UTC
Nov  7 11:19:12  vMX-NAPALM /kernel:     builder@larth.juniper.net:/volume/build/junos/14.1/release/14.1R1.10/obj-i386/junos/bsd/kernels/JUNIPER/kernel
Nov  7 11:19:12  vMX-NAPALM /kernel: Timecounter "i8254" frequency 1193182 Hz quality 0
Nov  7 11:19:12  vMX-NAPALM /kernel: CPU: Intel(R) Xeon(R) CPU E3-1535M v5 @ 2.90GHz (2904.03-MHz 686-class CPU)
Nov  7 11:19:12  vMX-NAPALM /kernel:   Origin = "GenuineIntel"  Id = 0x506e3  Stepping = 3
Nov  7 11:19:12  vMX-NAPALM /kernel:   Features=0x1783fbff<FPU,VME,DE,PSE,TSC,MSR,PAE,MCE,CX8,APIC,SEP,MTRR,PGE,MCA,CMOV,PAT,PSE36,MMX,FXSR,SSE,SSE2,HTT>
Nov  7 11:19:12  vMX-NAPALM /kernel:   Features2=0x56da2203<SSE3,<b1>,SSSE3,CX16,<b17>,SSE4.1,SSE4.2,MOVBE,POPCNT,<b25>,XSAVE,<b28>,<b30>>
Nov  7 11:19:12  vMX-NAPALM /kernel:   AMD Features=0x8100000<NX,RDTSCP>
Nov  7 11:19:12  vMX-NAPALM /kernel:   AMD Features2=0x121<LAHF,ABM,Prefetch>
Nov  7 11:19:12  vMX-NAPALM /kernel:   Cores per package: 2
Nov  7 11:19:12  vMX-NAPALM /kernel: real memory  = 805240832 (767 MB)
Nov  7 11:19:12  vMX-NAPALM /kernel: avail memory = 771051520 (735 MB)
Nov  7 11:19:12  vMX-NAPALM /kernel: MPTable: <VBOXCPU  VirtualBox  >
Nov  7 11:19:12  vMX-NAPALM /kernel: pnpbios: Bad PnP BIOS data checksum
Nov  7 11:19:12  vMX-NAPALM /kernel: Security policy loaded: Junos MAC/veriexec (mac_veriexec)
Nov  7 11:19:12  vMX-NAPALM /kernel: Security policy loaded: JUNOS MAC/runasnonroot (mac_runasnonroot)
Nov  7 11:19:12  vMX-NAPALM /kernel: Security policy loaded: JUNOS MAC/pcap (mac_pcap)
Nov  7 11:19:12  vMX-NAPALM /kernel: MAC/veriexec fingerprint module loaded: SHA256
Nov  7 11:19:12  vMX-NAPALM /kernel: MAC/veriexec fingerprint module loaded: SHA1
Nov  7 11:19:12  vMX-NAPALM /kernel: ioapic0: Assuming intbase of 0
Nov  7 11:19:12  vMX-NAPALM /kernel: ioapic0 <Version 2.0> irqs 0-23 on motherboard
Nov  7 11:19:12  vMX-NAPALM /kernel: Initializing M/T/EX platform properties ..
Nov  7 11:19:12  vMX-NAPALM /kernel: cpu0 on motherboard
Nov  7 11:19:12  vMX-NAPALM /kernel: pcib0: <Host to PCI bridge> pcibus 0 on motherboard
Nov  7 11:19:12  vMX-NAPALM /kernel: pir0: <PCI Interrupt Routing Table: 30 Entries> on motherboard
Nov  7 11:19:12  vMX-NAPALM /kernel: pci0: <PCI bus> on pcib0
Nov  7 11:19:12  vMX-NAPALM /kernel: Correcting Natoma config for non-SMP
Nov  7 11:19:12  vMX-NAPALM /kernel: isab0: <PCI-ISA bridge> at device 1.0 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: isa0: <ISA bus> on isab0
Nov  7 11:19:12  vMX-NAPALM /kernel: atapci0: <Intel PIIX4 UDMA33 controller> port 0x1f0-0x1f7,0x3f6,0x170-0x177,0x376,0xd000-0xd00f at device 1.1 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: ata0: <ATA channel 0> on atapci0
Nov  7 11:19:12  vMX-NAPALM /kernel: ata1: <ATA channel 1> on atapci0
Nov  7 11:19:12  vMX-NAPALM /kernel: pci0: <display, VGA> at device 2.0 (no driver attached)
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci0: <VirtIO PCI Network adapter> port 0xd020-0xd03f irq 9 at device 3.0 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: em0: <VirtIO Networking Adapter> on virtio_pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci0: host features: 0x410fdda3 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,TxUFO,TxTSOv6,TxTSOv4,RxUFO,RxTSOv6,RxTSOv4,MacAddress,RxChecksum,TxChecksum>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci0: negotiated features: 0x10f8020 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,MacAddress>
Nov  7 11:19:12  vMX-NAPALM /kernel: pci0: <base peripheral> at device 4.0 (no driver attached)
Nov  7 11:19:12  vMX-NAPALM /kernel: smb0: <Intel 82371AB SMB controller> irq 9 at device 7.0 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci1: <VirtIO PCI Network adapter> port 0xd060-0xd07f irq 11 at device 8.0 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: em1: <VirtIO Networking Adapter> on virtio_pci1
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci1: host features: 0x410fdda3 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,TxUFO,TxTSOv6,TxTSOv4,RxUFO,RxTSOv6,RxTSOv4,MacAddress,RxChecksum,TxChecksum>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci1: negotiated features: 0x10f8020 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,MacAddress>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci2: <VirtIO PCI Network adapter> port 0xd080-0xd09f irq 11 at device 9.0 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: em2: <VirtIO Networking Adapter> on virtio_pci2
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci2: host features: 0x410fdda3 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,TxUFO,TxTSOv6,TxTSOv4,RxUFO,RxTSOv6,RxTSOv4,MacAddress,RxChecksum,TxChecksum>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci2: negotiated features: 0x10f8020 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,MacAddress>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci3: <VirtIO PCI Network adapter> port 0xd0a0-0xd0bf irq 10 at device 10.0 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: em3: <VirtIO Networking Adapter> on virtio_pci3
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci3: host features: 0x410fdda3 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,TxUFO,TxTSOv6,TxTSOv4,RxUFO,RxTSOv6,RxTSOv4,MacAddress,RxChecksum,TxChecksum>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci3: negotiated features: 0x10f8020 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,MacAddress>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci4: <VirtIO PCI Network adapter> port 0xd0c0-0xd0df irq 11 at device 16.0 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: em4: <VirtIO Networking Adapter> on virtio_pci4
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci4: host features: 0x410fdda3 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,TxUFO,TxTSOv6,TxTSOv4,RxUFO,RxTSOv6,RxTSOv4,MacAddress,RxChecksum,TxChecksum>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci4: negotiated features: 0x10f8020 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,MacAddress>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci5: <VirtIO PCI Network adapter> port 0xd0e0-0xd0ff irq 11 at device 17.0 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: em5: <VirtIO Networking Adapter> on virtio_pci5
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci5: host features: 0x410fdda3 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,TxUFO,TxTSOv6,TxTSOv4,RxUFO,RxTSOv6,RxTSOv4,MacAddress,RxChecksum,TxChecksum>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci5: negotiated features: 0x10f8020 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,MacAddress>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci6: <VirtIO PCI Network adapter> port 0xd100-0xd11f irq 10 at device 18.0 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: em6: <VirtIO Networking Adapter> on virtio_pci6
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci6: host features: 0x410fdda3 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,TxUFO,TxTSOv6,TxTSOv4,RxUFO,RxTSOv6,RxTSOv4,MacAddress,RxChecksum,TxChecksum>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci6: negotiated features: 0x10f8020 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,MacAddress>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci7: <VirtIO PCI Network adapter> port 0xd120-0xd13f irq 9 at device 19.0 on pci0
Nov  7 11:19:12  vMX-NAPALM /kernel: em7: <VirtIO Networking Adapter> on virtio_pci7
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci7: host features: 0x410fdda3 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,TxUFO,TxTSOv6,TxTSOv4,RxUFO,RxTSOv6,RxTSOv4,MacAddress,RxChecksum,TxChecksum>
Nov  7 11:19:12  vMX-NAPALM /kernel: virtio_pci7: negotiated features: 0x10f8020 <NotifyOnEmpty,VLanFilter,RxMode,ControlVq,Status,MrgRxBuf,MacAddress>
Nov  7 11:19:12  vMX-NAPALM /kernel: orm0: <ISA Option ROM> at iomem 0xc0000-0xc7fff on isa0
Nov  7 11:19:12  vMX-NAPALM /kernel: atkbdc0: <Keyboard controller (i8042)> at port 0x60,0x64 on isa0
Nov  7 11:19:12  vMX-NAPALM /kernel: atkbd0: <AT Keyboard> irq 1 on atkbdc0
Nov  7 11:19:12  vMX-NAPALM /kernel: kbd0 at atkbd0
Nov  7 11:19:12  vMX-NAPALM /kernel: psm0: <PS/2 Mouse> irq 12 on atkbdc0
Nov  7 11:19:12  vMX-NAPALM /kernel: psm0: model IntelliMouse Explorer, device ID 4
Nov  7 11:19:12  vMX-NAPALM /kernel: vga0: <Generic ISA VGA> at port 0x3c0-0x3df iomem 0xa0000-0xbffff on isa0
Nov  7 11:19:12  vMX-NAPALM /kernel: sc0: <System console> at flags 0x100 on isa0
Nov  7 11:19:12  vMX-NAPALM /kernel: sc0: VGA <16 virtual consoles, flags=0x100>
Nov  7 11:19:12  vMX-NAPALM /kernel: sio0 at port 0x3f8-0x3ff irq 4 flags 0x90 on isa0
Nov  7 11:19:12  vMX-NAPALM /kernel: sio0: type 16550A, console
Nov  7 11:19:12  vMX-NAPALM /kernel: sio1: configured irq 5 not in bitmap of probed irqs 0
Nov  7 11:19:12  vMX-NAPALM /kernel: sio1: port may not be enabled
Nov  7 11:19:12  vMX-NAPALM /kernel: sio2: configured irq 3 not in bitmap of probed irqs 0
Nov  7 11:19:12  vMX-NAPALM /kernel: sio2: port may not be enabled
Nov  7 11:19:12  vMX-NAPALM /kernel: sio3: configured irq 7 not in bitmap of probed irqs 0
Nov  7 11:19:12  vMX-NAPALM /kernel: sio3: port may not be enabled
Nov  7 11:19:12  vMX-NAPALM /kernel: Setting product type to vmx..
Nov  7 11:19:12  vMX-NAPALM /kernel: Set Atlas fpc 12 & pfe 4 slots..
Nov  7 11:19:12  vMX-NAPALM /kernel: Initializing product: 161 ..
Nov  7 11:19:12  vMX-NAPALM /kernel: Setting up M/T interface operations and attributes
Nov  7 11:19:12  vMX-NAPALM /kernel: Timecounter "TSC" frequency 2904025371 Hz quality 800
Nov  7 11:19:12  vMX-NAPALM /kernel:  Loading Redundant LT driver
Nov  7 11:19:12  vMX-NAPALM /kernel: ###PCB Group initialized for udppcbgroup
Nov  7 11:19:12  vMX-NAPALM /kernel: ###PCB Group initialized for tcppcbgroup
Nov  7 11:19:12  vMX-NAPALM /kernel: ad0: 20480MB <VBOX HARDDISK 1.0> at ata0-master UDMA33
Nov  7 11:19:12  vMX-NAPALM /kernel: Kernel thread "wkupdaemon" (pid 49) exited prematurely.
Nov  7 11:19:12  vMX-NAPALM /kernel: Trying to mount root from ufs:/dev/ad0s1a
Nov  7 11:19:12  vMX-NAPALM /kernel: WARNING: / was not properly dismounted
Nov  7 11:19:12  vMX-NAPALM /kernel: veriexec: no fingerprint for file='/sbin/disklabel' fsid=65 fileid=2387 gen=0 uid=0 pid=1986
Nov  7 11:19:13  vMX-NAPALM /kernel: lag enhanced enabled 0
Nov  7 11:19:13  vMX-NAPALM /kernel: Loading the IMA Link Media Layer; Attaching to media services layer
Nov  7 11:19:13  vMX-NAPALM /kernel: Loading the IMA Group Media Layer; Attaching to media services layer
Nov  7 11:19:13  vMX-NAPALM /kernel: Loading the SONET Media Layer; Attaching to media services layer
Nov  7 11:19:13  vMX-NAPALM /kernel: Loading the CHMIC module
Nov  7 11:19:13  vMX-NAPALM /kernel: Loading POS driver
Nov  7 11:19:13  vMX-NAPALM /kernel:  Loading Aggregate sonet driver
Nov  7 11:19:13  vMX-NAPALM /kernel:  Loading shared uplink driver
Nov  7 11:19:13  vMX-NAPALM /kernel: sio1: configured irq 5 not in bitmap of probed irqs 0
Nov  7 11:19:13  vMX-NAPALM /kernel: sio1: port may not be enabled
Nov  7 11:19:13  vMX-NAPALM /kernel: sio2: configured irq 3 not in bitmap of probed irqs 0
Nov  7 11:19:13  vMX-NAPALM /kernel: sio2: port may not be enabled
Nov  7 11:19:13  vMX-NAPALM /kernel: sio3: configured irq 7 not in bitmap of probed irqs 0
Nov  7 11:19:13  vMX-NAPALM /kernel: sio3: port may not be enabled
Nov  7 11:19:14  vMX-NAPALM /kernel: Loading Multilink Services PICs module.
